Date,maturity,value
4/14/2020,30 Yr,1.41
4/15/2020,30 Yr,1.27
4/16/2020,30 Yr,1.21
4/17/2020,30 Yr,1.27
4/20/2020,30 Yr,1.23
4/21/2020,30 Yr,1.17
4/22/2020,30 Yr,1.22
4/23/2020,30 Yr,1.18
4/24/2020,30 Yr,1.17
4/27/2020,30 Yr,1.25
4/28/2020,30 Yr,1.2
4/29/2020,30 Yr,1.24
4/30/2020,30 Yr,1.28
5/1/2020,30 Yr,1.27
5/4/2020,30 Yr,1.29
5/5/2020,30 Yr,1.32
5/6/2020,30 Yr,1.41
5/7/2020,30 Yr,1.31
5/8/2020,30 Yr,1.39
5/11/2020,30 Yr,1.43
5/12/2020,30 Yr,1.38
5/13/2020,30 Yr,1.35
5/14/2020,30 Yr,1.3
5/15/2020,30 Yr,1.32
5/18/2020,30 Yr,1.44
5/19/2020,30 Yr,1.43
5/20/2020,30 Yr,1.4
5/21/2020,30 Yr,1.4
5/22/2020,30 Yr,1.37
5/26/2020,30 Yr,1.43
5/27/2020,30 Yr,1.44
5/28/2020,30 Yr,1.47
5/29/2020,30 Yr,1.41
6/1/2020,30 Yr,1.46
6/2/2020,30 Yr,1.48
6/3/2020,30 Yr,1.56
6/4/2020,30 Yr,1.61
6/5/2020,30 Yr,1.68
6/8/2020,30 Yr,1.65
6/9/2020,30 Yr,1.59
6/10/2020,30 Yr,1.53
6/11/2020,30 Yr,1.41
6/12/2020,30 Yr,1.45
6/15/2020,30 Yr,1.45
6/16/2020,30 Yr,1.54
6/17/2020,30 Yr,1.52
6/18/2020,30 Yr,1.47
6/19/2020,30 Yr,1.47
6/22/2020,30 Yr,1.46
6/23/2020,30 Yr,1.49
6/24/2020,30 Yr,1.44
6/25/2020,30 Yr,1.43
6/26/2020,30 Yr,1.37
6/29/2020,30 Yr,1.39
6/30/2020,30 Yr,1.41
7/1/2020,30 Yr,1.43
7/2/2020,30 Yr,1.43
7/6/2020,30 Yr,1.45
7/7/2020,30 Yr,1.38
7/8/2020,30 Yr,1.39
7/9/2020,30 Yr,1.32
7/10/2020,30 Yr,1.33
7/13/2020,30 Yr,1.33
7/14/2020,30 Yr,1.3
7/15/2020,30 Yr,1.33
7/16/2020,30 Yr,1.31
7/17/2020,30 Yr,1.33
7/20/2020,30 Yr,1.32
7/21/2020,30 Yr,1.31
7/22/2020,30 Yr,1.29
7/23/2020,30 Yr,1.24
7/24/2020,30 Yr,1.23
7/27/2020,30 Yr,1.25
7/28/2020,30 Yr,1.22
7/29/2020,30 Yr,1.24
7/30/2020,30 Yr,1.2
7/31/2020,30 Yr,1.2
8/3/2020,30 Yr,1.23
8/4/2020,30 Yr,1.19
8/5/2020,30 Yr,1.22
8/6/2020,30 Yr,1.2
8/7/2020,30 Yr,1.23
8/10/2020,30 Yr,1.25
8/11/2020,30 Yr,1.32
8/12/2020,30 Yr,1.37
8/13/2020,30 Yr,1.42
8/14/2020,30 Yr,1.45
8/17/2020,30 Yr,1.43
8/18/2020,30 Yr,1.4
8/19/2020,30 Yr,1.42
8/20/2020,30 Yr,1.38
8/21/2020,30 Yr,1.35
8/24/2020,30 Yr,1.35
8/25/2020,30 Yr,1.39
8/26/2020,30 Yr,1.41
8/27/2020,30 Yr,1.5
8/28/2020,30 Yr,1.52
8/31/2020,30 Yr,1.49
9/1/2020,30 Yr,1.43
9/2/2020,30 Yr,1.38
9/3/2020,30 Yr,1.34
9/4/2020,30 Yr,1.46
9/8/2020,30 Yr,1.43
9/9/2020,30 Yr,1.45
9/10/2020,30 Yr,1.43
9/11/2020,30 Yr,1.42
9/14/2020,30 Yr,1.42
9/15/2020,30 Yr,1.43
9/16/2020,30 Yr,1.45
9/17/2020,30 Yr,1.43
9/18/2020,30 Yr,1.45
9/21/2020,30 Yr,1.43
9/22/2020,30 Yr,1.42
9/23/2020,30 Yr,1.42
9/24/2020,30 Yr,1.4
9/25/2020,30 Yr,1.4
9/28/2020,30 Yr,1.42
9/29/2020,30 Yr,1.41
9/30/2020,30 Yr,1.46
10/1/2020,30 Yr,1.45
10/2/2020,30 Yr,1.48
10/5/2020,30 Yr,1.57
10/6/2020,30 Yr,1.56
10/7/2020,30 Yr,1.6
10/8/2020,30 Yr,1.57
10/9/2020,30 Yr,1.58
10/13/2020,30 Yr,1.52
10/14/2020,30 Yr,1.5
10/15/2020,30 Yr,1.52
10/16/2020,30 Yr,1.52
10/19/2020,30 Yr,1.55
10/20/2020,30 Yr,1.6
10/21/2020,30 Yr,1.62
10/22/2020,30 Yr,1.67
10/23/2020,30 Yr,1.64
10/26/2020,30 Yr,1.59
10/27/2020,30 Yr,1.57
10/28/2020,30 Yr,1.56
10/29/2020,30 Yr,1.62
10/30/2020,30 Yr,1.65
11/2/2020,30 Yr,1.63
11/3/2020,30 Yr,1.66
11/4/2020,30 Yr,1.55
11/5/2020,30 Yr,1.54
11/6/2020,30 Yr,1.6
11/9/2020,30 Yr,1.73
11/10/2020,30 Yr,1.75
11/12/2020,30 Yr,1.64
