COMMODITY,"DEFINITIONS, COVERAGE, REMARKS",Item,Item Code,subclass,subclass code,class,class code,type,lifespan
"Skim Milk, Evaporated","Same as 0894, but applied to skim milk.",,895,,,animal,,,
"Skim Milk, Condensed","Same as 0889, but applied to skim milk.",,896,,,animal,,,
Dry Whole Cow Milk,"Milk and cream from which water has been completely removed by various
methods. In form of powder, granules or other solid forms. May contain
added sugar or other sweeteners.",,897,,,animal,,,
Dry Skim Cow Milk,"Same as 0897, but from skim milk. Normally does not exceed 1.5% fat
content.",,898,,,animal,,,
Dry Buttermilk,,,899,,,animal,,,
Dry Whey,Used in both food and animal feed.,,900,,,animal,,,
Cheese from Whole Cow Milk,"Curd of milk that has been coagulated and separated from whey. May
include some skimmed milk.",,901,,,animal,,,
"Whey, Fresh","The liquid part of the milk that remains after the separation of curd
in cheese making. Its main food use is in the preparation of whey
cheese, whey drinks and fermented whey drinks. The main industrial
uses are in the manufacture of lactose, whey paste and dried whey.",,903,,,animal,,,
Cheese from Skimmed Cow Milk,May include some whole milk.,,904,,,animal,,,
Whey Cheese,,,905,,,animal,,,
Processed Cheese,,,907,,,animal,,,
Reconstituted Milk,"Obtained by adding water, fat, etc. to milk powder.",,908,,,animal,,,
Products of Natural Milk Constitue,,,909,,,animal,,,
Ice Cream and Edible Ice,"A product with a milk or cream base to which sweeteners, eggs, etc.
have been added.",,910,,,animal,,,
Egg Albumin,The main protein constituent of egg white.,,916,,,animal,,,
Casein,"The main protein constituent of milk. Casein is obtained from skimmed
milk by precipitation (curdling) with acids or rennet.",,917,,,animal,,,
"CATTLE HIDES, FRESH","Green hide or skin as removed from the carcass of the animal (adult
bovine). Used for production data only.",,919,,,hides,,,
"Hides, Wet-Salted (Cattle)",Approximately 80-85% of green weight.,,920,,,hides,,,
"Hides, Dry-Salted (Cattle)","Includes dry and dry-salted, approximately 35% and 55% of green
weight, respectively.",,921,,,hides,,,
"Hides nes, Cattle","Limed, pickled or otherwise preserved.",,922,,,hides,,,
"SKINS, FRESH (CALVES)",See 0919. From young bovine animals.,,927,,,hides,,,
"Skins, Wet-Salted (Calves)",See 0920.,,928,,,hides,,,
"Skins, Dry-Salted (Calves)",See 0921.,,929,,,hides,,,
"Skins nes, Calves",See 0922.,,930,,,hides,,,
Indigenous Cattle Meat,,,944,,,slaughter,,,
Biological Cattle Meat,,,945,,,slaughter,,,
"BUFFALOES
Indian, Asiatic, pigmy, water
buffalo (Bubalus bubalus;
B. arnee; B. depressicornis",,,946,,,livestock,,,
BUFFALO MEAT,"Fresh, chilled or frozen, with bone in or boneless.",,947,,,slaughter,,,
"OFFALS OF BUFFALO, EDIBLE","Fresh, chilled or frozen.",,948,,,slaughter,,,
FAT OF BUFFALO,See 0869.,,949,,,fat,,,
FAT OF BUFFALO,See Chapter 14.,,949,,,slaughter,,,
BUFFALO MILK,See 0882 and derived products.,,951,,,animal,,,
Butter of Buffalo Milk,,,952,,,animal,,,
"Ghee, from Buffalo Milk",,,953,,,animal,,,
Skim Milk of Buffalo,Cheese of Buffalo Milk,,954,,,animal,,,
"BUFFALO HIDES, FRESH",See 0919. Both adult and young animals.,,957,,,hides,,,
"Hides, Wet-Salted (Buffalo)",See 0920.,,958,,,hides,,,
"Hides, Dry-Salted (Buffalo)",See 0921.,,959,,,hides,,,
Indigenous Buffalo Meat,,,972,,,slaughter,,,
Biological Buffalo Meat,,,973,,,slaughter,,,
"SHEEP
Ovis spp.","See 0866. Includes Uriel, Argali, Bighorn, Karakul and Astrakhan.",,976,,,livestock,,,
MEAT OF SHEEP,"Meat of sheep and lamb, whether fresh, chilled or frozen, with bone inor boneless.",,977,,,slaughter,,,
"OFFALS OF SHEEP, EDIBLE","Fresh, chilled or frozen.",,978,,,slaughter,,,
FAT OF SHEEP,See Chapter 14.,,979,,,slaughter,,,
FAT OF SHEEP,Unrendered slaughter fats of sheep. See 0869.,,979,,,fat,,,
SHEEP MILK,See 0882 and derived products.,,982,,,animal,,,
Butter and Ghee of Sheep Milk,,,983,,,animal,,,
Cheese of Sheep Milk,,,984,,,animal,,,
Skim Sheep Milk,,,985,,,animal,,,
"WOOL, GREASY","A natural fibre taken from sheep or lambs. Includes fleece-washed,
shorn and pulled wool (from slaughtered animals), but does not include
carded or combed wool.",,987,,,Fibre Crops Primary,1753.0,,
"Wool, Degreased","Includes scoured and carbonized, but does not include carded or combed
wool.",,988,,,Fibre Crops Primary,1753.0,,
Wool Grease and Lanolin,"Extracted from the soapy water in which wool has been scoured, or from
greasy wool by meand of solvents. Lanolin is obtained by purifying
wool grease. Includes wool grease olein and stearin.",,994,,,fat,,,
"SHEEPSKINS, FRESH",See 0919. Both adult and young animals.,,995,,,hides,,,
"Skins, Wet-Salted (Sheep)",Sheep and lamb skins without wool. See 0920.,,996,,,hides,,,
"Skins, Dry-Salted (Sheep)",Sheep and lamb skins without wool. See 0921.,,997,,,hides,,,
"Skins nes, Sheep",Sheep and lamb skins without wool. See 0922.,,998,,,hides,,,
"Skins with Wool, Sheep","Sheep and lamb skins (excluding 1002), with wool on, salted, dried,
limed, pickled or otherwise preserved.",,999,,,hides,,,
KARAKUL SKINS,"Raw skins of Astrakhan, Caracul, Persian or similar lambs.",,1002,,,hides,,,
"Wool, Shoddy","Garnetted stock of wool or of fine or coarse animal hair obtained by
garnetting rags or waste of spinning, weaving, knitting etc.",,1007,,,Fibre Crops Primary,1753.0,,
"Hair, Carded, Combed","Wool and fine or coarse animal hair, carded or combed, including
combed wool in fragments.",,1008,,,Fibre Crops Primary,1753.0,,
"Wool, Hair Waste","Noils of wool or animal hair not garnetted;  other waste of wool and
animal hair (excluding horsehair) not covered in 1007.",,1009,,,Fibre Crops Primary,1753.0,,
Wool Tops,"Slivers consisting of long fibres laid parallel by combing and then
wound into balls.",,1010,,,Fibre Crops Primary,1753.0,,
Indigenous Sheep Meat,,,1012,,,slaughter,,,
Biological Sheep Meat,,,1013,,,slaughter,,,
"GOATS
Capra spp.","See 0866. Includes Hircus, Ibex, Nubiana, Pyrenaica, Tibetana, Kashmir
and Angora.",,1016,,,livestock,,,
GOAT MEAT,"Meat of goats and kids, whether fresh, chilled or frozen, with bone inor boneless.",,1017,,,slaughter,,,
"OFFALS OF GOATS, EDIBLE","Fresh, chilled or frozen.",,1018,,,slaughter,,,
FAT OF GOATS,See Chapter 14.,,1019,,,slaughter,,,
FAT OF GOATS,Unrendered slaughter fats of goats. See 0869.,,1019,,,fat,,,
GOAT MILK,See 0882 and derived products.,,1020,,,animal,,,
"Cheese of Goat
Milk",,,1021,,,animal,,,
"Butter of Goat
Milk",,,1022,,,animal,,,
Skim Milk of Goat,,,1023,,,animal,,,
"GOATSKINS, FRESH",See 0919. Both adult and young animals.,,1025,,,hides,,,
"Skins, Wet-Salted
(Goats)",Includes kids. See 0920.,,1026,,,hides,,,
"Skins, Dry-Salted
(Goats)",Includes kids. See 0921.,,1027,,,hides,,,
"Skins nes, Goats",Includes kids. See 0922.,,1028,,,hides,,,
FINE GOAT HAIR,"Hair from cashmere, angora (mohair) and similar goats. Excludes carded
or combed hair.",,1030,,,Fibre Crops Primary,1753.0,,
COARSE GOAT HAIR,Common goat hair. Not carded or combed hair.,,1031,,,Fibre Crops Primary,1753.0,,
Indigenous Goat Meat,,,1032,,,slaughter,,,
Biological Goat Meat,,,1033,,,slaughter,,,
"PIGS
domestic pig (Sus domestica);
wild boar (Sus scrofa)",See 0866. Excludes non-domesticated wild boars.,,1034,,,livestock,,,
PIG MEAT,"Meat, with the bone in, of domestic or wild pigs (e.g. wild boars),whether fresh, chilled or frozen.",,1035,,,slaughter,,,
"OFFALS OF PIGS, EDIBLE","Fresh, chilled or frozen.",,1036,,,slaughter,,,
FAT OF PIGS,See Chapter 14.,,1037,,,slaughter,,,
FAT OF PIGS,Unrendered slaughter fats of pigs. See 0869.,,1037,,,fat,,,
PORK,"Pig meat, excluding butcher fat and bones.",,1038,,,slaughter,,,
Bacon and Ham,"Meat of pigs, whether salted, in brine, dried or smoked.",,1039,,,slaughter,,,
"Pig, Butcher Fat",See Chapter 14.,,1040,,,slaughter,,,
"Pig, Butcher Fat",See 0871.,,1040,,,fat,,,
Sausages of Pig Meat,See 0874.,,1041,,,slaughter,,,
Pig Meat Preparations,See 0875.,,1042,,,slaughter,,,
Lard,See Chapter 14.,,1043,,,slaughter,,,
Lard,Rendered pig fat.,,1043,,,fat,,,
"PIGSKINS, FRESH","See 0919. In many countries, pigskins are not removed from the
carcasses.",,1044,,,hides,,,
"Skins, Wet-Salted
(Pigs)",See 0920.,,1045,,,hides,,,
"Skins, Dry-Salted
(Pigs)",See 0921.,,1046,,,hides,,,
"Skins nes, Pigs",See 0922.,,1047,,,hides,,,
Indigenous Pig Meat,,,1055,,,slaughter,,,
Biological Pig Meat,,,1056,,,slaughter,,,
"CHICKENS
fowl (Gallus domesticus);
Guinea fowl (Numida meleagris

Domesticated birds only. Data are expressed in thousands.",,,1057,,,livestock,,,
CHICKEN MEAT,"Fresh, chilled or frozen. May include all types of poultry meat ifnational statistics do not report separate data.",,1058,,,slaughter,,,
OFFALS AND LIVER OF CHICKENS,"Fresh, chilled or frozen.",,1059,,,slaughter,,,
Fatty Liver Preparations,"Fatty livers of ducks and geese when cooked, prepared or preserved(e.g. patâ€š).",,1060,,,slaughter,,,
"Meat, Canned (Chicken)",Includes meat and offals of poultry.,,1061,,,slaughter,,,
HEN EGGS,Weight in shell.,,1062,,,animal,,,
"Eggs, Liquid","Whole eggs, not in the shell, and egg yolks in liquid form that are
frozen or otherwise preserved.",,1063,,,animal,,,
"Eggs, Dried","Whole eggs and egg yolks, dried or powdered.",,1064,,,animal,,,
FAT OF POULTRY,Unrendered poultry fat.,,1065,,,fat,,,
FAT OF POULTRY,See Chapter 14.,,1065,,,slaughter,,,
"Fat of Poultry, Rendered","Rendered poultry fat, including bone fat and fat obtained from waste.",,1066,,,fat,,,
"Fat of Poultry, Rendered",See Chapter 14.,,1066,,,slaughter,,,
"HEN EGGS,
(NUMBER)",,,1067,,,animal,,,
"DUCKS
Anas spp.",See 1057.,,1068,,,livestock,,,
DUCK MEAT,"Fresh, chilled or frozen.",,1069,,,slaughter,,,
Indigenous Duck Meat,,,1070,,,slaughter,,,
Biological Duck Meat,,,1071,,,slaughter,,,
"GEESE
Anser spp.",See 1057.,,1072,,,livestock,,,
GOOSE MEAT,"Fresh, chilled or frozen.",,1073,,,slaughter,,,
OFFALS AND LIVER OF GEESE,"Fresh, chilled or frozen, salted or in brine.",,1074,,,slaughter,,,
OFFALS AND LIVER OF DUCKS,"Fresh, chilled or frozen, salted or in brine.",,1075,,,slaughter,,,
Indigenous Goose Meat,,,1077,,,slaughter,,,
Biological Goose Meat,,,1078,,,slaughter,,,
"TURKEYS
Meleagris gallopavo",See 1057.,,1079,,,livestock,,,
TURKEY MEAT,"Fresh, chilled or frozen.",,1080,,,slaughter,,,
OFFALS AND LIVER OF TURKEYS,,,1081,,,slaughter,,,
"PIGEONS AND OTHER BIRDS
Including inter alia:
partridge (Alectoris rufa);
pigeon (Columba livia);
quail (Coturnis spp.);
turtle dove, pheasant, etc.",See 1057.,,1083,,,livestock,,,
"Indigenous Meat, Other Poultry",,,1084,,,slaughter,,,
"Biological Meat, Other Poultry",,,1085,,,slaughter,,,
Indigenous Turkey Meat,,,1087,,,slaughter,,,
Biological Turkey Meat,,,1088,,,slaughter,,,
MEAT OF PIGEONS AND OTHER BIRDS NES,"Fresh, chilled or frozen.",,1089,,,slaughter,,,
"EGGS, EXCLUDING HEN
EGGS",Weight in shell.,,1091,,,animal,,,
"EGGS, EXCLUDING HEN EGGS
(NUMBER)",,,1092,,,animal,,,
Biological Chicken Meat,,,1095,,,slaughter,,,
Indigenous Chicken Meat,,,1095,,,slaughter,,,
"HORSES
Equus caballus",See 0866.,,1096,,,livestock,,,
HORSE MEAT,"Fresh, chilled or frozen.",,1097,,,slaughter,,,
OFFALS OF HORSES,"Fresh, chilled or frozen.",,1098,,,slaughter,,,
HAIR OF HORSES,"Includes hair of the manes and tails of equine and bovine animals and
waste therefrom.  Hair from flanks included in 1219.",,1100,,,Fibre Crops Primary,1753.0,,
"HORSE HIDES, FRESH",See 0919. Both adult and young animals.,,1102,,,hides,,,
"Hides, Wet-Salted (Horses)",See 0920. Includes hides of asses and mules.,,1103,,,hides,,,
"Hides, Dry-Salted (Horses)",See 0921. Includes hides of asses and mules.,,1104,,,hides,,,
"Hides nes, Horses",See 0922. Includes hides of asses and mules.,,1105,,,hides,,,
"ASSES
Equus asinus",See 0866.,,1107,,,livestock,,,
MEAT OF ASSES,"Fresh, chilled or frozen.",,1108,,,slaughter,,,
"HIDES OF ASSES, FRESH",See 0919. Both adult and young animals.,,1109,,,hides,,,
MULES,"Includes hinnies. Mules are offspring of a male ass and a female horse
(mare); a hinny is the offspring of a female ass and a male horse
(stallion). Both are sterile. See 0866.",,1110,,,livestock,,,
MEAT OF MULES,"Fresh, chilled or frozen.",,1111,,,slaughter,,,
"HIDES OF MULES, FRESH",See 0919. Both adult and young animals.,,1112,,,hides,,,
Indigenous Horse Meat,,,1120,,,slaughter,,,
Biological Horse Meat,,,1121,,,slaughter,,,
Indigenous Ass Meat,,,1122,,,slaughter,,,
Biological Ass Meat,,,1123,,,slaughter,,,
Indigenous Mule Meat,,,1124,,,slaughter,,,
Biological Mule Meat,,,1125,,,slaughter,,,
"CAMELS
Bactrian camel (Camelus bactrianus);
Arabian camel (C. dromedarius)",See 0866.,,1126,,,livestock,,,
MEAT OF CAMELS,"Fresh, chilled or frozen.",,1127,,,slaughter,,,
"OFFALS OF CAMELS, EDIBLE","Fresh, chilled or frozen.",,1128,,,slaughter,,,
FAT OF CAMELS,Unrendered slaughter fats.,,1129,,,fat,,,
FAT OF CAMELS,See Chapter 14.,,1129,,,slaughter,,,
CAMEL MILK,See 0882.,,1130,,,animal,,,
"CAMEL HIDES, FRESH",See 0919. Both adult and young animals.,,1133,,,hides,,,
"Hides, Wet-Salted (Camels)",See 0920.,,1134,,,hides,,,
"Hides, Dry-Salted (Camels)",See 0921.,,1135,,,hides,,,
"Hides nes, Camels",See 0922.,,1136,,,hides,,,
Indigenous Camel Meat,,,1137,,,slaughter,,,
Biological Camel Meat,,,1138,,,slaughter,,,
"RABBITS
Oryctolagus cuniculus","See 0866. May include domesticated hares (Lepus spp.). Data are
expressed in thousands.",,1140,,,livestock,,,
RABBIT MEAT,"Fresh, chilled or frozen. May include hare meat.",,1141,,,slaughter,,,
Indigenous Rabbit Meat,,,1144,,,slaughter,,,
Biological Rabbit Meat,,,1145,,,slaughter,,,
RABBIT SKINS,"See 0919. Both adult and young animals. Trade data include processed
skins, including angora.",,1146,,,hides,,,
OTHER RODENTS,"See 0866. Includes only those used mainly for meat, e.g. Guinea pig.
Rodents used mainly for fur skins are included in Code 1169. Data are
expressed in thousands.",,1150,,,livestock,,,
MEAT OF OTHER DOMESTIC RODENTS,"Fresh, chilled or frozen.",,1151,,,slaughter,,,
"Indigenous Meat, Other Rodents",,,1154,,,slaughter,,,
"Biological Meat, Other Rodents",,,1155,,,slaughter,,,
"OTHER CAMELIDS
Various species of Lama:
e.g. glama pacos (alpaca);
peruana (llama); huanacos
(guanaco>); vicugna (vicuå…€)",See 0866.,,1157,,,livestock,,,
MEAT OF OTHER DOMESTIC CAMELIDS,"Fresh, chilled or frozen.",,1158,,,slaughter,,,
FAT OF OTHER CAMELIDS,Unrendered slaughter fats.,,1160,,,fat,,,
FAT OF OTHER CAMELIDS,See Chapter 14.,,1160,,,slaughter,,,
"Indigenous Meat, Other Camelids",,,1161,,,slaughter,,,
"Biological Meat, Other Camelids",,,1162,,,slaughter,,,
GAME MEAT,"Meat and offals of wild animals, whether fresh, chilled or frozen.",,1163,,,slaughter,,,
"Meat, Dried nes","Meat, except of bovines and pigs, salted, in brine or smoked.",,1164,,,slaughter,,,
MEAT NES,"Including frog legs, marine mammals, etc.  Some countries includeunder this heading meats that are listed above, but which are notreported separately. Fresh, chilled or frozen.",,1166,,,slaughter,,,
OFFALS NES,"Fresh, chilled or frozen.",,1167,,,slaughter,,,
Animal Oils and Fats nes,"Animal oils and fats obtained from other animal species and oils and
fats recovered from guts, feet, sweepings, hide trimmings, etc.",,1168,,,fat,,,
Animal Oils and Fats nes,See Chapter 14.,,1168,,,slaughter,,,
"LIVE ANIMALS, NON- FOOD NES","Any animal not raised for food. External trade data also include wild
animals.",,1169,,,livestock,,,
LIVE ANIMALS NES,"Any other animal grown for meat, eggs, feathers and skins, e.g.
ostrich, antelope, deer, reindeer, chamois.",,1171,,,livestock,,,
"Meat, Prepared nes","Excludes poultry, swine or bovine meat preparations.",,1172,,,slaughter,,,
Meat Meal,"Flours, meals and pellets of meat and offal (including of marine
mammals); greaves and tankage. Used for feed.",,1173,,,fodder,,,
Meat Meal,See Chapter 11.,,1173,,,slaughter,,,
Fish Meal,"Flours, meals and pellets from fish, crustaceans, molluscs or other
aquatic invertebrates. Used for feed.",,1174,,,fodder,,,
Blood Meal,"Flours, meals and pellets obtained through dehydration of blood. Used
for feed.",,1175,,,fodder,,,
Blood Meal,See Chapter 11.,,1175,,,slaughter,,,
SNAILS O/T SEA SNAILS,"Fresh, chilled, frozen, dried, salted or in brine.",,1176,,,slaughter,,,
"BEEHIVES
Apis mellifica; A. dorsata;
A. florea; A. indica",A beehive is an artificial habitation for bees.,,1181,,,livestock,,,
HONEY,See Chapter 3.,,1182,,,animal,,,
HONEY,Honey produced by bees (Apis mellifera) or by other insects.,,1182,,,sugar,,,
BEESWAX,"The substance bees use to build the hexagonal cells of the combs of
beehives. Includes other insect waxes as well, i.e. lac and Chinese
wax.",,1183,,,animal,,,
"COCOONS, REELABLE","Silkworm cocoons suitable for reeling. Foreign trade data are
expressed in silk equivalent, which is 25% of their weight.",,1185,,,Fibre Crops Primary,1753.0,,
"Silk, Raw",Obtained by reeling the filaments from cocoons. Not thrown.,,1186,,,Fibre Crops Primary,1753.0,,
"Cocoons Unreelable, Waste","Include cocoons unsuitable for reeling and silk waste of all kinds.
Not carded or combed.",,1187,,,Fibre Crops Primary,1753.0,,
FUR SKINS,"High-value raw skins, e.g. mink, fox, beaver.",,1195,,,hides,,,
"HIDES AND SKINS NES, FRESH","See 0919. Both adult and young animals. Includes, among others,
chamois, antelope, crocodile and snake.",,1213,,,hides,,,
"Hides, Wet-Salted nes",See 0920.,,1214,,,hides,,,
"Hides, Dry-Salted nes",See 0921.,,1215,,,hides,,,
Hides nes,See 0922.,,1216,,,hides,,,
"Leather, Used and Waste","Parings and other waste of leather, leather dust, powder and flour.",,1217,,,hides,,,
"HAIR, FINE","Fine animal hair, mainly from alpaca, llama, vicuå…€, camel and angora
rabbit. Excludes carded or combed hair.",,1218,,,Fibre Crops Primary,1753.0,,
"HAIR, COARSE NES","Hair from flanks of equines and bovines, as well as hair from other
animals, such as dogs and monkeys. Excludes carded or combed hair.",,1219,,,Fibre Crops Primary,1753.0,,
Lard Stearine and Lard Oil,See Chapter 14.,,1221,,,slaughter,,,
Lard Stearine and Lard Oil,"Obtained by pressing lard or tallow (oleo-oil, tallow oil, tallow
stearine).",,1221,,,fat,,,
Degras,"A residue from tanning leather that is obtained either by pressing or
by extraction with solvents.",,1222,,,fat,,,
"Oil from Fish and Marine
Mammals","Fats and oils from fish and marine mammals extracted from the body or
liver, whether or not refined, but not chemically modified.",,1223,,,fat,,,
Tallow,See Chapter 14.,,1225,,,slaughter,,,
Tallow,"Rendered fats of animals other than pigs, excluding tallow oil or
stearine.",,1225,,,fat,,,
Food Preparations nes,Including turtle eggs and birds' nests.,,1232,,,slaughter,,,
Food Preparations nes,"Including both crop and livestock products. Inter alia: homogenized
composite food preparations; soups and broths; ketchup and other
sauces; mixed condiments and seasonings; vinegar and substitutes;
yeast and baking powders; stuffed pasta, whether or not cooked;
couscous; and protein concentrates.",,1232,,,tobacco,,,
Liquid Margarine,See Chapter 14.,,1241,,,"Oilcrops, Oil Equivalent",1732.0,,
Liquid Margarine,See commodity code 1242. Fat content varies from 30 to 70%.,,1241,,,fat,,,
Margarine and Shortening,"Margarine is made principally from one or more hydrogenated vegetable
or animal fats or oils in which is dispersed an aqueous potion
containing milk products, salt, flavouring agents and other additives.
Shortening is a product similar to margarine, but with a higher animal
fat content. Shortening and compound fats are used primarily for
baking and frying. The fat content of margarine and shortening varies
from 70 to 90%.",,1242,,,fat,,,
Fat Preparations nes,"Cooking fats prepared from both vegetable and animal oils and fats.
Usually containing 100% fat.",,1243,,,fat,,,
Fat Preparations nes,See Chapter 14.,,1243,,,slaughter,,,
"Food Waste, Prep. for Feed",Same coverage as 0653.,,1259,,,fodder,,,
"Castor Oil, Hydrogenated","Also called ""opal wax"".",,1273,,,fat,,,
"Oils Boiled, Dehydrated, etc.","Also includes oxidized and sulphurized oils. Animal and vegetable fats
and oils whose chemical structure has been modified to improve
viscosity, drying ability or other properties.",,1274,,,fat,,,
"Oils Boiled, Dehydrated, etc",See Chapter 14.,,1274,,,"Oilcrops, Oil Equivalent",1732.0,,
Hydrogenated Oils and Fats,"Animal and vegetable fats and oils that have been hydrogenated to
raise their melting point and increase their consistency by
transforming unsaturated glycerides into saturated glycerides.",,1275,,,fat,,,
Fatty Acids,"Manufactured by the saponification or hydrolysis of natural fats or
oils. Including acid oils from refining.",,1276,,,fat,,,
ARABIC GUM,Latex exuded by some acacias.,,1291,,,tobacco,,,
"OTHER RESINS
Including inter alia:
copaiba, copal (Copaifera spp.);
gum tragacanth  (some Astragalus spp.);
incense (Boswellia spp.);
myrrh, opopanax, Mecca balsam (Commiphora spp.);
tolu balsam, peru balsam (Myroxilon balsamum; M. Pereira)","Including lac (resinous substance produced by an insect on several
kinds of tropical trees), gums, gum-resins and balsams (vegetable
secretions which may solidify on contact with air).",,1292,,,tobacco,,,
Crude Organic Materials nes,"Trade data are expressed in value terms only. Including, of vegetable
origin: bulbs, tubers, tuberous roots, corms, crowns and rhizomes;
live plants, cuttings and slips; mushroom spawn; cut flowers and
flower buds; foliage, branches and grasses, mosses and lichens; plants
and parts used primarily in perfumes, pharmaceuticals, insecticides,
fungicides, or for similar purposes; seaweeds and other algae;
vegetable saps and extracts; materials used for plaiting, stuffing or
padding; materials used primarily in brooms or brushes; and materials
used primarily in dyeing and tanning.",,1293,,,tobacco,,,
Seeds for Planting,"Seeds, fruits and spores used for sowing. Excludes cereals, oilseeds,
pulses and spices, even if intended for sowing.",,1294,,,tobacco,,,
Spermaceti,"Waxy substance extracted from the fat of sperm whales and similar
cetaceans.",,1295,,,fat,,,
"VEGETABLE WAXES
Including inter alia:
candelilla (Euphorbia antisyphilitica; Pedilanthus pavonis);
carnauba (Copernicia cerifera);
urucury (Attalea excelsa);
palm wax (Ceroxylon andicolum)","Vegetable waxes, whether crude or refined, bleached or coloured.
Excludes mixtures and chemically modified waxes.",,1296,,,tobacco,,,
